trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
194,False,"{'a': 0.8, 'e': 0.05529902509469138}",20,13,12.462909481342013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.8, 'e': 0.05447572986918988}",35,17,17.464749502270884,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.8, 'e': 0.053664691912730135}",25,8,30.562609508030455,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.8, 'e': 0.05286572873835037}",20,15,12.56032669231812,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.8, 'e': 0.05207866057596569}",20,2,25.20611007204772,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.8, 'e': 0.051303310331919136}",20,0,25.358068585610884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.8, 'e': 0.050539503549134696}",20,6,23.934278351349935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.8, 'e': 0.049787068367863944}",20,11,3.536857613044437,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.8, 'e': 0.04904583548701675}",25,18,15.566261925346593,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.8, 'e': 0.04831563812606779}",20,13,15.278274305977662,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.8, 'e': 0.04759631198753032}",30,16,29.260175308804335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.8, 'e': 0.046887695219988486}",30,20,5.092483421380458,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.8, 'e': 0.04618962838168012}",20,8,10.498064919643403,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.8, 'e': 0.04550195440462157}",20,13,2.009063672601875,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.8, 'e': 0.04482451855926687}",25,4,28.732983803189114,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.8, 'e': 0.04415716841969286}",20,0,36.341066611941066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
210,False,"{'a': 0.8, 'e': 0.043499753829302754}",20,3,30.34869719205788,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.8, 'e': 0.04285212686704019}",30,20,19.470029812079144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.8, 'e': 0.042214141814106466}",20,12,15.021439856935379,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.8, 'e': 0.04158565512117318}",20,9,22.586155435284738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.8, 'e': 0.040966525376082946}",30,15,32.30236935871525,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.8, 'e': 0.04035661327203115}",30,17,21.740812388817627,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.8, 'e': 0.039755781576221304}",20,6,24.38494922873216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.8, 'e': 0.03916389509898708}",20,5,18.926896450872057,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.8, 'e': 0.03858082066337404}",25,13,21.28102273425823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.8, 'e': 0.038006427075174314}",25,17,19.773706034648693,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.8, 'e': 0.037440585093407336}",25,15,17.267291678555075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.8, 'e': 0.036883167401240015}",20,4,27.423281682769336,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.8, 'e': 0.036334048577339996}",20,9,5.310992416287983,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
