Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market_Cap,Holiday,Weekend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,season_1,season_2,season_3,season_4,N_tran,Diff,Block_Size,Mi_rev,Cost_tran,MA7,SO,Momentum_14,Momentum_7,Momentum_2
2013-04-28,135.3,135.98,132.1,134.21,0.0,1488566728,0,1,0,0,0,0,0,0,1,0,1,0,0,40986.0,8974296.01489,0.120677057141,572109.88793,13.9586660794,121.45714285716441,0.5438144329896949,19.210000000000008,18.30000000000001,-4.789999999999992
2013-04-29,134.44,147.49,134.0,144.54,0.0,1603768865,0,0,1,0,0,0,0,0,0,0,1,0,0,50009.0,8974296.01489,0.13363457779899998,645240.0912,12.9024793777,118.84285714287869,0.7813194959229047,26.559999999999988,32.239999999999995,27.549999999999997
2013-04-30,144.0,146.93,134.05,139.0,0.0,1542813125,0,0,0,1,0,0,0,0,0,0,1,0,0,48795.0,10076292.8834,0.17694365098200002,525692.911,10.773499559400001,114.2371428571644,0.38431677018633464,27.5,27.5,33.790000000000006
2013-05-01,139.0,139.89,107.72,116.99,0.0,1298954594,1,0,0,0,1,0,0,0,0,0,1,0,0,50437.0,10076292.8834,0.159959745745,442507.288,8.77346567004,110.30857142859297,0.2881566677028287,2.769999999999996,3.4200000000000017,19.239999999999995
2013-05-02,116.38,125.6,92.28,105.21,0.0,1168517495,0,0,0,0,0,1,0,0,0,0,1,0,0,57278.0,10076292.8834,0.181149747637,383775.10965,6.70021840235,109.82000000002154,0.3880552220888354,-13.550000000000011,-7.460000000000008,-7.290000000000006
2013-05-03,106.25,108.13,79.1,97.75,0.0,1085995169,0,0,0,0,0,0,1,0,0,0,1,0,0,55859.0,10076292.8834,0.175324790332,346890.6,6.21011117277,110.88571428573582,0.6424388563554945,-25.260000000000005,-19.450000000000003,-18.159999999999997
2013-05-04,98.1,115.0,92.5,112.5,0.0,1250316563,0,1,0,0,0,0,0,1,0,0,1,0,0,48349.0,10076292.8834,0.14923261048,435864.26268,9.0149592066,113.66428571430724,0.8888888888888888,-11.0,-2.739999999999995,0.20000000000000284
2013-05-05,112.9,118.8,107.14,115.91,0.0,1288693176,0,1,0,0,0,0,0,0,1,0,1,0,0,49419.0,10076292.8834,0.15022043129100002,458356.35888,9.27490153342,114.05571428573582,0.7521440823327614,-6.079999999999998,0.9099999999999966,4.409999999999997
2013-05-06,115.98,124.66,106.64,112.3,0.0,1249023060,1,0,1,0,0,0,0,0,0,0,1,0,0,51244.0,10076292.8834,0.153041371539,498918.70875,9.73613903579,113.92571428573582,0.31409544950055485,-9.700000000000003,-5.680000000000007,-1.269999999999996
2013-05-07,112.25,113.44,97.7,111.5,0.0,1240593600,0,0,0,1,0,0,0,0,0,0,1,0,0,59215.0,10076292.8834,0.159965954044,474770.45,8.01773959301,114.7371428571644,0.8767471410419315,-11.379999999999995,0.0,-1.1700000000000017
